Unnamed: 0,School Name,URL,City,State,svg_file_path
1651,Cedar Valley College,http://cedarvalleycollege.edu,Lancaster,TX,logos/Cedar_Valley_College/Cedar_Valley_College.svg
1652,Coastal Bend College,http://coastalbend.edu,(multiple locations),TX,logos/Coastal_Bend_College/Coastal_Bend_College.svg
1653,College of the Mainland,http://com.edu,Texas City,TX,logos/College_of_the_Mainland/College_of_the_Mainland.svg
1654,Concordia University Texas,http://concordia.edu,Austin,TX,logos/Concordia_University_Texas/Concordia_University_Texas.svg
1655,Central Texas College,http://ctcd.edu,Killeen,TX,logos/Central_Texas_College/Central_Texas_College.svg
1656,Culinary Institute LeNotre,http://culinaryinstitute.edu,Houston,TX,logos/Culinary_Institute_LeNotre/Culinary_Institute_LeNotre.svg
1657,Dallas Baptist University,http://dbu.edu,Dallas,TX,Fail
1658,Del Mar College,http://delmar.edu,Corpus Christi,TX,logos/Del_Mar_College/Del_Mar_College.svg
1659,Dallas Nursing Institute,http://dni.edu,Dallas,TX,logos/Dallas_Nursing_Institute/Dallas_Nursing_Institute.svg
1660,El Paso Community College,http://epcc.edu,El Paso,TX,logos/El_Paso_Community_College/El_Paso_Community_College.svg
1661,East Texas Baptist University,http://etbu.edu,Marshall,TX,Fail
1662,Galen College of Nursing,http://galencollege.edu,San Antonio,TX,logos/Galen_College_of_Nursing/Galen_College_of_Nursing.svg
1663,Galveston College,http://gc.edu,Galveston,TX,logos/Galveston_College/Galveston_College.svg
1664,Grayson College,http://grayson.edu,Denison,TX,logos/Grayson_College/Grayson_College.svg
1665,Houston Baptist University,http://hbu.edu,Houston,TX,logos/Houston_Baptist_University/Houston_Baptist_University.svg
1666,Houston Community College,http://hccs.edu,Houston,TX,logos/Houston_Community_College/Houston_Community_College.svg
1667,Hill College,http://hillcollege.edu,Hillsboro,TX,logos/Hill_College/Hill_College.svg
1668,Howard College,http://howardcollege.edu,Big Spring,TX,logos/Howard_College/Howard_College.svg
1669,Howard Payne University,http://hputx.edu,Brownwood,TX,logos/Howard_Payne_University/Howard_Payne_University.svg
1670,Lamar University,http://lamar.edu,Beaumont,TX,logos/Lamar_University/Lamar_University.svg
1671,Lamar State College - Port Arthur,http://lamarpa.edu,Port Arthur,TX,Fail
1672,Lubbock Christian University,http://lcu.edu,Lubbock,TX,logos/Lubbock_Christian_University/Lubbock_Christian_University.svg
1673,LeTourneau University,http://letu.edu,Longview,TX,logos/LeTourneau_University/LeTourneau_University.svg
1674,Lamar Institute of Technology,http://lit.edu,Beaumont,TX,logos/Lamar_Institute_of_Technology/Lamar_Institute_of_Technology.svg
1675,Lone Star College System,http://lonestar.edu,The Woodlands,TX,logos/Lone_Star_College_System/Lone_Star_College_System.svg
1676,Lamar State College - Orange,http://lsco.edu,Orange,TX,Fail
1677,McLennan Community College,http://mclennan.edu,Waco,TX,logos/McLennan_Community_College/McLennan_Community_College.svg
1678,McMurry University,http://mcm.edu,Abilene,TX,logos/McMurry_University/McMurry_University.svg
1679,Midland College,http://midland.edu,Midland,TX,logos/Midland_College/Midland_College.svg
1680,Midwestern State University,http://mwsu.edu,Wichita Falls,TX,logos/Midwestern_State_University/Midwestern_State_University.svg
1681,National American University,http://national.edu,(multiple locations),TX,logos/National_American_University/National_American_University.svg
1682,North Central Texas College,http://nctc.edu,Gainesville,TX,logos/North_Central_Texas_College/North_Central_Texas_College.svg
1683,North American University,http://northamerican.edu,Houston,TX,logos/North_American_University/North_American_University.svg
1684,North Lake College,http://northlakecollege.edu,(multiple locations),TX,logos/North_Lake_College/North_Lake_College.svg
1685,Odessa College,http://odessa.edu,Odessa,TX,logos/Odessa_College/Odessa_College.svg
1686,Ogle School,http://ogleschool.edu,Denton,TX,logos/Ogle_School/Ogle_School.svg
